date,fiscal_year
2017-09-01,
01-10-2017,
2017-11-01,
01-12-2017,
2018-01-01,
01-02-2018,
2018-03-01,
01-04-2018,
2018-05-01,
01-06-2018,
2018-07-01,
01-08-2018,
2018-09-01,
01-10-2018,
2018-11-01,
01-12-2018,
2019-01-01,
01-02-2019,
2019-03-01,
01-04-2019,
2019-05-01,
01-06-2019,
2019-07-01,
01-08-2019,
2019-09-01,
01-10-2019,
2019-11-01,
01-12-2019,
2020-01-01,
01-02-2020,
2020-03-01,
01-04-2020,
2020-05-01,
01-06-2020,
2020-07-01,
01-08-2020,
2020-09-01,
01-10-2020,
2020-11-01,
01-12-2020,
2021-01-01,
01-02-2021,
2021-03-01,
01-04-2021,
2021-05-01,
01-06-2021,
2021-07-01,
01-08-2021,
2021-09-01,
01-10-2021,
2021-11-01,
01-12-2021,
2022-01-01,
01-02-2022,
2022-03-01,
01-04-2022,
2022-05-01,
01-06-2022,
2022-07-01,
01-08-2022,
2022-09-01,
01-10-2022,
2022-11-01,
01-12-2022,
2023-01-01,
01-02-2023,
2023-03-01,
01-04-2023,
2023-05-01,
01-06-2023,
2023-07-01,
01-08-2023,
2023-09-01,
01-10-2023,
2023-11-01,
01-12-2023,
